,Issued Building Permits,Inflation Rate,GDP Per Capita,Homeownership Rate,Debt to GDP Ratio,Capacity Utilization Index,Business Confidence Index,Consumer Confidence Index,Federal Funds Rate,Unemployment Rate,Federal Surplus to GDP Ratio
1984,1689.6666666666667,4.3005,34667.0,64.5,38.4406675,80.50535833333333,100.62000583333332,97.475,10.225,7.508333333333333,-4.591
1985,1732.3333333333333,3.5456,35792.75,63.9,41.77682,79.27640833333334,99.10166666666666,93.16666666666666,8.100833333333332,7.191666666666666,-4.89304
1986,1771.0833333333333,1.898,36698.0,63.8,45.7647975,78.554375,99.54163,94.79166666666666,6.805,7.0,-4.83067
1987,1541.3333333333333,3.6646,37627.25,64.0,48.0750475,81.16408333333332,100.9083625,90.64166666666665,6.6575,6.175000000000001,-3.0839
1988,1452.0833333333333,4.0777,38844.25,63.8,49.2729375,84.25189166666667,100.68095,93.7333333333333,7.5683333333333325,5.491666666666667,-2.96343
1989,1350.3333333333333,4.827,39892.5,63.9,50.29316,83.72156666666666,99.04697333333331,92.75833333333331,9.216666666666667,5.258333333333334,-2.70561
1990,1123.6666666666667,5.398,40192.0,63.9,53.626279999999994,82.40588333333334,98.49328666666666,81.61666666666666,8.099166666666667,5.616666666666667,-3.7067
1991,945.6666666666666,4.235,39617.0,64.1,58.727312500000004,79.965525,98.65000333333332,77.55,5.6875,6.8500000000000005,-4.37207
1992,1098.0,3.0288,40470.25,64.1,61.7491875,80.68634999999999,99.87319333333332,77.25,3.521666666666667,7.491666666666667,-4.45255
1993,1207.25,2.9517,41047.75,64.0,63.8878375,81.57993333333332,99.8259625,82.79166666666666,3.0225000000000004,6.908333333333332,-3.71873
1994,1366.9166666666667,2.6074,42187.25,64.0,64.20296249999998,83.547875,101.03733333333332,92.26666666666665,4.201666666666667,6.1000000000000005,-2.78825
1995,1335.8333333333333,2.8054,42810.75,64.7,64.7243825,83.92555833333334,99.14421,92.24166666666666,5.836666666666666,5.591666666666668,-2.14604
1996,1419.0833333333333,2.9312,43910.25,65.4,64.4982675,83.304325,99.30486166666665,93.6083333333333,5.298333333333333,5.408333333333334,-1.33072
1997,1442.25,2.3377,45317.75,65.7,63.17769,84.08085833333334,100.401075,103.21666666666665,5.46,4.941666666666667,-0.25513
1998,1619.4166666666667,1.5523,46801.5,66.3,61.3389325,82.86755000000001,99.35466416666665,104.61666666666666,5.353333333333334,4.5,0.76433
1999,1663.9166666666667,2.188,48485.25,66.8,58.9942875,81.91884166666667,100.28538583333332,105.825,4.97,4.216666666666666,1.3042
2000,1598.3333333333333,3.3769,49914.5,67.4,55.61407,81.61252499999999,99.64503333333332,107.575,6.235833333333333,3.966666666666667,2.30458
2001,1637.1666666666667,2.8262,49893.25,67.8,54.931445,76.22750833333335,97.96223916666666,89.24166666666666,3.8874999999999997,4.741666666666666,1.21184
2002,1749.0,1.586,50260.25,67.9,56.6450625,75.025075,99.80156083333331,89.58333333333333,1.6666666666666663,5.783333333333334,-1.44347
2003,1888.4166666666667,2.2701,51189.0,68.3,58.717535,76.08796666666667,99.99675416666666,87.625,1.1275,5.991666666666666,-3.29583
2004,2057.5833333333335,2.6772,52681.25,69.0,60.1163825,78.23358333333333,101.61590833333332,95.2,1.3491666666666664,5.541666666666667,-3.37825
2005,2160.0833333333335,3.3927,54014.25,68.9,60.8082975,80.22885833333333,100.50229166666666,88.55,3.2133333333333334,5.083333333333333,-2.44145
2006,1843.6666666666667,3.2259,54993.5,68.8,61.484382499999995,80.56934166666667,99.97398333333331,87.30833333333332,4.964166666666666,4.608333333333333,-1.79638
2007,1391.5,2.8527,55560.0,68.1,62.098164999999995,80.78355,99.55455416666666,85.58333333333333,5.019166666666666,4.616666666666667,-1.11026
2008,895.8333333333334,3.8391,55105.25,67.8,67.13855,77.79301666666667,98.31529416666666,63.75,1.9274999999999995,5.8,-3.10465
2009,582.0,-0.3555,53212.5,67.4,80.9604425,68.36185833333333,98.44261666666665,66.25833333333333,0.16,9.283333333333331,-9.75744
2010,603.6666666666666,1.64,54188.25,66.9,88.9541725,73.29599166666667,100.89380833333333,71.84166666666667,0.17500000000000002,9.608333333333333,-8.60107
2011,624.0,3.1568,54603.0,66.1,93.94041000000001,75.95676666666667,100.42644583333332,67.35,0.10166666666666668,8.933333333333334,-8.33091
2012,828.5,2.0693,55422.25,65.4,98.36838750000001,76.80520833333334,99.67979416666665,76.54166666666666,0.13999999999999999,8.075000000000001,-6.62345
2013,988.0,1.4648,56171.75,65.1,99.829175,77.105475,100.0684925,79.20833333333333,0.10750000000000003,7.358333333333333,-4.02694
2014,1052.0833333333333,1.6222,57137.75,64.5,101.09735500000001,78.66678333333333,100.55320833333332,84.125,0.08916666666666666,6.158333333333332,-2.75323
2015,1177.4166666666667,0.1186,58363.25,63.7,100.267225,77.09060000000001,99.58706083333331,92.94166666666666,0.1325,5.275,-2.41574
2016,1205.6666666666667,1.2616,58967.75,63.4,103.9553875,75.37415833333333,99.62605,91.84166666666665,0.395,4.875,-3.10903
2017,1286.25,2.1301,60000.75,63.9,102.5260725,76.619325,100.95788333333331,96.76666666666665,1.0016666666666667,4.358333333333333,-3.39306
2018,1327.8333333333333,2.4426,61417.5,64.4,103.8065925,79.67376666666665,101.25388333333332,98.36666666666666,1.8316666666666668,3.891666666666666,-3.77157
2019,1387.0,1.8122,62605.5,64.6,104.50475250000001,78.58870833333333,99.563555,95.9833333333333,2.158333333333333,3.675,-4.57028
2020,1478.4166666666667,1.2336,60982.5,66.6,122.6031025,72.80470833333334,99.76961666666665,81.54166666666666,0.3758333333333333,8.091666666666667,-14.69054
2021,1737.5833333333333,4.6979,64409.0,65.5,121.599,77.55664166666668,101.656225,77.61666666666666,0.07999999999999999,5.3500000000000005,-11.76293
2022,1681.8333333333333,8.0028,65419.75,65.8,119.772345,80.315575,100.06849083333331,58.975,1.6833333333333336,3.633333333333333,-5.3446
2023,1518.0833333333333,4.1003,66096.0,65.9,119.6352875,79.30689166666666,98.65399916666665,65.35,5.024166666666666,3.625,-6.1903
